province,city,district,show_address,full_address,cnt_sum_certain
安徽省,亳州市,蒙城县,三义镇义兴街,安徽省亳州市蒙城县三义镇义兴街,-1
安徽省,亳州市,蒙城县,桂堰小区,安徽省亳州市蒙城县庄周街道桂堰小区,1
安徽省,亳州市,蒙城县,赵集村东孙庄,安徽省亳州市蒙城县许疃镇赵集村东孙庄,-1
安徽省,亳州市,蒙城县,玖隆国际C区,安徽省亳州市蒙城县庄周街道玖隆国际C区,-1
安徽省,亳州市,蒙城县,金天地商业街,安徽省亳州市蒙城县城关街道金天地商业街,-1
安徽省,亳州市,蒙城县,闫集村后钱庄,安徽省亳州市蒙城县许疃镇闫集村后钱庄,-1
安徽省,亳州市,谯城区,曹寺行政村东张庄,安徽省亳州市谯城区颜集镇曹寺行政村东张庄,-1
安徽省,亳州市,谯城区,亿丰御景小区,安徽省亳州市谯城区亿丰御景小区,-1
安徽省,亳州市,谯城区,白依路包园新村,安徽省亳州市谯城区薛阁办事处白依路包园新村,-1
安徽省,亳州市,谯城区,御花园小区,安徽省亳州市谯城区御花园小区,-1
安徽省,亳州市,谯城区,天赐良苑小区,安徽省亳州市谯城区薛阁街道办事处天赐良苑小区,1
安徽省,亳州市,谯城区,上善名郡上园,安徽省亳州市谯城区薛阁街道上善名郡上园,1
安徽省,亳州市,谯城区,赵老家,安徽省亳州市谯城区十八里镇候桥村赵老家,-1
安徽省,亳州市,谯城区,程屯村,安徽省亳州市谯城区华佗镇程屯村,1
安徽省,亳州市,谯城区,小王庄,安徽省亳州市谯城区华佗镇程屯村小王庄,1
安徽省,亳州市,高新区,建投世纪城,安徽省亳州市高新区建投世纪城,-1
安徽省,亳州市,高新区,翡翠庄园,安徽省亳州市高新区翡翠庄园,-1
安徽省,亳州市,高新区,豪泽丽景小区,安徽省亳州市高新区豪泽丽景小区,-1
安徽省,合肥市,包河区,豪门金地小区,安徽省合肥市包河区豪门金地小区,-1
安徽省,合肥市,包河区,滨湖明珠西区,安徽省合肥市包河区滨湖明珠西区,-1
安徽省,合肥市,包河区,琼林苑小区,安徽省合肥市包河区琼林苑小区,-1
安徽省,合肥市,包河区,万振逍遥苑,安徽省合肥市包河区万振逍遥苑,-1
安徽省,合肥市,包河区,金湾嘉园,安徽省合肥市包河区金湾嘉园,-1
安徽省,合肥市,包河区,风和园,安徽省合肥市包河区风和园,-1
安徽省,合肥市,包河区,宝利丰广场,安徽省合肥市包河区宝利丰广场,-1
安徽省,合肥市,包河区,曙宏南苑,安徽省合肥市包河区曙宏南苑,-1
安徽省,合肥市,包河区,兴丰苑小区,安徽省合肥市包河区兴丰苑小区,-1
安徽省,合肥市,巢湖市,城市之光C区,安徽省合肥市巢湖市凤凰山街道城市之光C区,-1
安徽省,合肥市,巢湖市,武山居委会,安徽省合肥市巢湖市槐林镇武山居委会,-1
安徽省,合肥市,庐江县,新中村,安徽省合肥市庐江县矾山镇新中村,-1
安徽省,合肥市,庐江县,鲍店村,安徽省合肥市庐江县罗河镇鲍店村,-1
